Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,Innate Lymphoid Cell Precursors,Terminal Effector CD4+ T cells,-0.2833333333333333,9.64783808399261e-13,0.0,2.1510088216297443,1.131099819448879,1.7648484299986484e-12
Fast,Innate Lymphoid Cell Precursors,Terminal Effector CD8+ T cells,-0.3833333333333333,0.0,0.0,2.1510088216297443,1.0528153739767316,0.0
Fast,Innate Lymphoid Cell Precursors,Th1/Th2-like T cells,-0.3833333333333333,0.0,0.0,2.1510088216297443,0.5070853226042543,0.0
Fast,Innate Lymphoid Cell Precursors,Transitional Monocytes,-0.31666666666666654,8.881784197001252e-16,3.112614051534927e-33,2.1510088216297443,0.3602018691989214,1.8376105235175006e-15
Fast,Innate Lymphoid Cell Precursors,Transitional/activated B cells,0.661093652917021,0.0,1.2450456206139707e-32,2.1510088216297443,1.0969764604362944,0.0
Fast,Low density Neutrophils,MAIT/NKT-like cells,0.3333333333333334,0.0,1.2450456206139707e-32,1.2153080008256492,0.8509500015214381,0.0
Fast,Low density Neutrophils,Memory B cells,0.10444659357341862,0.010235407746155056,7.781535128837317e-34,1.2153080008256492,4.936668335051579,0.013122317623275712
Fast,Low density Neutrophils,NK cell,-0.04999999999999989,0.2202863591873987,4.863459455523323e-35,1.2153080008256492,0.5405390684327066,0.24476262131933188
Fast,Low density Neutrophils,Naive B cells,-0.04999999999999989,0.2202863591873987,4.863459455523323e-35,1.2153080008256492,0.38561806122690506,0.24476262131933188
Fast,Low density Neutrophils,Naive CD4+ T cells,-0.18333333333333332,5.570092312945363e-06,7.781535128837317e-34,1.2153080008256492,0.5118875243840818,7.88220610322457e-06
Fast,Low density Neutrophils,Naive CD8+ T cells,0.39999999999999986,0.0,3.112614051534927e-33,1.2153080008256492,0.7128846559749665,0.0
Fast,Low density Neutrophils,Neutrophils,0.21666666666666656,6.940806440702829e-08,7.781535128837317e-34,1.2153080008256492,0.0877853117203214,1.0463527297541954e-07
Fast,Low density Neutrophils,Non-Classical Monocytes,0.3500000000000001,0.0,1.2450456206139707e-32,1.2153080008256492,0.4851705394233283,0.0
Fast,Low density Neutrophils,Plasmablast B cells,-0.033333333333333305,0.4140431958714845,4.863459455523323e-35,1.2153080008256492,1.2120869810854338,0.43736957310368085
Fast,Low density Neutrophils,Plasmacytoid Dendritic cells,-0.04999999999999989,0.2202863591873987,4.863459455523323e-35,1.2153080008256492,0.44866367643496735,0.24476262131933188
Fast,Low density Neutrophils,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,0.11666666666666664,0.004094207235746605,1.7508454039883964e-33,1.2153080008256492,0.9237500679855754,0.0053171522542163705
Fast,Low density Neutrophils,Regulatory T cells,0.25,3.9419112418670466e-10,0.0,1.2153080008256492,1.4451019580649032,6.569852069778411e-10
Fast,Low density Neutrophils,TCRγδ T-cell,-0.4166666666666666,0.0,0.0,1.2153080008256492,0.875733529585747,0.0
Fast,Low density Neutrophils,Terminal Effector CD4+ T cells,0.15,0.000213763745231077,0.0,1.2153080008256492,1.131099819448879,0.00028757454515391525
Fast,Low density Neutrophils,Terminal Effector CD8+ T cells,-0.06666666666666661,0.10196126662679483,1.9453837822093293e-34,1.2153080008256492,1.0528153739767316,0.1181018532356697
Fast,Low density Neutrophils,Th1/Th2-like T cells,-0.3500000000000001,0.0,1.2450456206139707e-32,1.2153080008256492,0.5070853226042543,0.0
Fast,Low density Neutrophils,Transitional Monocytes,0.6500000000000001,0.0,1.2450456206139707e-32,1.2153080008256492,0.3602018691989214,0.0
Fast,Low density Neutrophils,Transitional/activated B cells,-0.16736548175114455,3.495304858014414e-05,3.112614051534927e-33,1.2153080008256492,1.0969764604362944,4.922964588752696e-05
Fast,MAIT/NKT-like cells,Memory B cells,0.8007572173962102,0.0,1.2450456206139707e-32,0.8509500015214381,4.936668335051579,0.0
Fast,MAIT/NKT-like cells,NK cell,-0.15,0.000213763745231077,0.0,0.8509500015214381,0.5405390684327066,0.00028757454515391525
Fast,MAIT/NKT-like cells,Naive B cells,-0.3666666666666667,0.0,0.0,0.8509500015214381,0.38561806122690506,0.0
Fast,MAIT/NKT-like cells,Naive CD4+ T cells,-0.1999999999999999,6.837856474373183e-07,0.0,0.8509500015214381,0.5118875243840818,9.958043409281335e-07
Fast,MAIT/NKT-like cells,Naive CD8+ T cells,0.4666666666666668,0.0,2.801352646381434e-32,0.8509500015214381,0.7128846559749665,0.0
Fast,MAIT/NKT-like cells,Neutrophils,0.0833333333333333,0.04075771521047389,0.0,0.8509500015214381,0.0877853117203214,0.048909258252568664
Fast,MAIT/NKT-like cells,Non-Classical Monocytes,0.15,0.000213763745231077,0.0,0.8509500015214381,0.4851705394233283,0.00028757454515391525
Fast,MAIT/NKT-like cells,Plasmablast B cells,0.0,1.0,0.0,0.8509500015214381,1.2120869810854338,1.0
Fast,MAIT/NKT-like cells,Plasmacytoid Dendritic cells,0.39999999999999986,0.0,3.112614051534927e-33,0.8509500015214381,0.44866367643496735,0.0
Fast,MAIT/NKT-like cells,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,-0.5,0.0,0.0,0.8509500015214381,0.9237500679855754,0.0
Fast,MAIT/NKT-like cells,Regulatory T cells,-0.3666666666666667,0.0,0.0,0.8509500015214381,1.4451019580649032,0.0
Fast,MAIT/NKT-like cells,TCRγδ T-cell,-0.3500000000000001,0.0,1.2450456206139707e-32,0.8509500015214381,0.875733529585747,0.0
Fast,MAIT/NKT-like cells,Terminal Effector CD4+ T cells,0.06666666666666661,0.10196126662679483,1.9453837822093293e-34,0.8509500015214381,1.131099819448879,0.1181018532356697
Fast,MAIT/NKT-like cells,Terminal Effector CD8+ T cells,-0.0833333333333333,0.04075771521047389,0.0,0.8509500015214381,1.0528153739767316,0.048909258252568664
Fast,MAIT/NKT-like cells,Th1/Th2-like T cells,0.016666666666666604,0.6830636447614804,1.2158648638808308e-35,0.8509500015214381,0.5070853226042543,0.7041893244963716
